Year,Id,Link_ID,Active,Link_Info,From_Core,To_Core,Euc_Dist,CW_Dist,LCP_Length,Shape_Length,cw_to_Euc_Dist_Ratio,cwd_to_Path_Length_Ratio,Current_Flow_Centrality,Effective_Resistance,cwd_to_Eff_Resist_Ratio
2017,0,336,1,"""Connects_cores""",147,156,6697,1508663.13,8184,8184.701268,225.2700043,184.3399963,-1,168408,8.958399773
2017,0,337,1,"""Connects_cores""",148,149,544,145814.44,1461,1461.83757,268.0400085,99.80000305,-1,21559.80078,6.763269901
2017,0,338,1,"""Connects_cores""",148,150,1353,400287.44,1843,1843.675289,295.8500061,217.1900024,-1,36705.19922,10.90550041
2017,0,339,1,"""Connects_cores""",149,150,1213,99658.75,2001,2001.837639,82.16000366,49.79999924,-1,15907.7998,6.264780045
2017,0,340,1,"""Connects_cores""",149,156,4327,1142982.38,7532,7532.863678,264.1499939,151.75,-1,113355,10.08320045
2017,0,341,1,"""Connects_cores""",151,152,2838,1085863.88,3575,3575.513029,382.6199951,303.7399902,-1,58932.89844,18.42539978
2017,0,342,1,"""Connects_cores""",151,157,9153,478926.81,12543,12543.07768,52.31999969,38.18000031,-1,40274.39844,11.89159966
2017,0,343,1,"""Connects_cores""",151,178,14308,527121.31,18995,18995.94118,36.84000015,27.75,-1,41772.10156,12.61900043
2017,0,344,1,"""Connects_cores""",152,157,12421,1620052.63,17422,17422.26633,130.4299927,92.98999786,-1,60596.5,26.73509979
2017,0,345,1,"""Connects_cores""",152,159,7806,2203411.25,18995,18995.94157,282.269989,116,-1,102339,21.53059959
2017,0,347,1,"""Connects_cores""",152,165,13071,2866852.75,19424,19424.10381,219.3300018,147.5899963,-1,271939,10.54230022
2017,0,348,1,"""Connects_cores""",152,178,14412,1542580.75,19042,19042.26617,107.0299988,81.01000214,-1,107849,14.30319977
2017,0,349,1,"""Connects_cores""",155,157,804,136604.53,5550,5550.214088,169.9100037,24.61000061,-1,13621,10.02900028
2017,0,351,1,"""Connects_cores""",157,166,6525,57829.47,7841,7841.240216,8.859999657,7.380000114,-1,4796.680176,12.05620003
2017,0,353,1,"""Connects_cores""",158,177,7980,194194.94,10317,10317.56492,24.34000015,18.81999969,-1,14759.5,13.1573
2017,0,354,1,"""Connects_cores""",158,184,8652,282444,9692,9692.863738,32.63999939,29.13999939,-1,23533.30078,12.00189972
2017,0,355,1,"""Connects_cores""",159,162,606,536175.31,1191,1191.837629,884.7800293,450.1900024,-1,66599.89844,8.050689697
2017,0,357,1,"""Connects_cores""",159,167,2873,741376.56,4786,4786.538949,258.0499878,154.9100037,-1,90668.29688,8.176799774
2017,0,358,1,"""Connects_cores""",159,171,3366,1233759.75,4609,4609.188209,366.5400085,267.6799927,-1,66989.10156,18.41729927
